model,gene,variable,statistic,estimate,pval,FDR,hgnc_symbol
lme,ENSG00000002587,median_cv_coverage,seeContrasts,seeContrasts,0.3105631216925072,0.4521442043531679,HS3ST1
lme,ENSG00000002726,Treatment,seeContrasts,seeContrasts,0.28426707431913867,0.37569261807864235,AOC1
lme,ENSG00000002726,median_cv_coverage,seeContrasts,seeContrasts,0.43653077129480305,0.5793806333693909,AOC1
lme,ENSG00000002745,Treatment,seeContrasts,seeContrasts,3.0634957845325917e-8,1.773972604461592e-7,WNT16
lme,ENSG00000002745,median_cv_coverage,seeContrasts,seeContrasts,0.7259143050382987,0.8172058634284655,WNT16
lme,ENSG00000002746,Treatment,seeContrasts,seeContrasts,0.5534766561432309,0.6364141368563231,HECW1
lme,ENSG00000002746,median_cv_coverage,seeContrasts,seeContrasts,0.034277863051526705,0.07627052280887332,HECW1
lme,ENSG00000002822,Treatment,seeContrasts,seeContrasts,0.006019083279904136,0.01394691299831538,MAD1L1
lme,ENSG00000002822,median_cv_coverage,seeContrasts,seeContrasts,4.005022349827729e-4,0.0015089505096804758,MAD1L1
lme,ENSG00000002834,Treatment,seeContrasts,seeContrasts,0.005251111633279164,0.012343643084169006,LASP1
lme,ENSG00000002834,median_cv_coverage,seeContrasts,seeContrasts,7.025536025909217e-11,1.0653498719174252e-9,LASP1
lme,ENSG00000002919,Treatment,seeContrasts,seeContrasts,7.893222238680959e-31,3.887228673396224e-29,SNX11
lme,ENSG00000002919,median_cv_coverage,seeContrasts,seeContrasts,0.051594933864495776,0.10753676794844527,SNX11
lme,ENSG00000002933,Treatment,seeContrasts,seeContrasts,0.06144779234935629,0.10504567790448259,TMEM176A
lme,ENSG00000002933,median_cv_coverage,seeContrasts,seeContrasts,0.9146635896212071,0.9493684253675977,TMEM176A
lme,ENSG00000003056,Treatment,seeContrasts,seeContrasts,0.6676437335322933,0.7352169518378809,M6PR
lme,ENSG00000003056,median_cv_coverage,seeContrasts,seeContrasts,0.7979162467005657,0.8700016269974569,M6PR
lme,ENSG00000003096,Treatment,seeContrasts,seeContrasts,3.9639474981291825e-20,8.543971931265706e-19,KLHL13
lme,ENSG00000003096,median_cv_coverage,seeContrasts,seeContrasts,0.7275949536303737,0.818460711929733,KLHL13
lme,ENSG00000003137,Treatment,seeContrasts,seeContrasts,0.21577601581775468,0.3005822824777147,CYP26B1
lme,ENSG00000003137,median_cv_coverage,seeContrasts,seeContrasts,0.5656351437327101,0.6910566997969447,CYP26B1
lme,ENSG00000003147,Treatment,seeContrasts,seeContrasts,0.02879467966098075,0.054867868874846765,ICA1
lme,ENSG00000003147,median_cv_coverage,seeContrasts,seeContrasts,0.10217602236307086,0.1895630963062011,ICA1
lme,ENSG00000003249,Treatment,seeContrasts,seeContrasts,0.0730131540283932,0.12176776384739871,DBNDD1
lme,ENSG00000003249,median_cv_coverage,seeContrasts,seeContrasts,0.17997249541068197,0.29729505404716633,DBNDD1
lme,ENSG00000003393,Treatment,seeContrasts,seeContrasts,0.7039188198094875,0.7660245532222054,ALS2
lme,ENSG00000003393,median_cv_coverage,seeContrasts,seeContrasts,0.018921989766468264,0.045708745818558945,ALS2
lme,ENSG00000003400,Treatment,seeContrasts,seeContrasts,9.299368112251312e-19,1.7382496893252838e-17,CASP10
lme,ENSG00000003400,median_cv_coverage,seeContrasts,seeContrasts,0.8030146578911075,0.8740030217635202,CASP10
lme,ENSG00000003402,Treatment,seeContrasts,seeContrasts,4.2027688956894196e-19,8.162813775791404e-18,CFLAR
lme,ENSG00000003402,median_cv_coverage,seeContrasts,seeContrasts,0.003147930621577104,0.009536113577876024,CFLAR
lme,ENSG00000003436,Treatment,seeContrasts,seeContrasts,0.08205562941291367,0.1341478825355825,TFPI
lme,ENSG00000003436,median_cv_coverage,seeContrasts,seeContrasts,3.018529490000152e-4,0.0011711158194495713,TFPI
lme,ENSG00000003509,Treatment,seeContrasts,seeContrasts,0.6926498857159886,0.7556914768233355,NDUFAF7
lme,ENSG00000003509,median_cv_coverage,seeContrasts,seeContrasts,0.834249764082487,0.8957415455457388,NDUFAF7
lme,ENSG00000003756,Treatment,seeContrasts,seeContrasts,0.2299984777086827,0.3167106704171489,RBM5
lme,ENSG00000003756,median_cv_coverage,seeContrasts,seeContrasts,0.417337193233604,0.5608805958741923,RBM5
lme,ENSG00000003987,Treatment,seeContrasts,seeContrasts,0.6803896089582407,0.7459992769298825,MTMR7
lme,ENSG00000003987,median_cv_coverage,seeContrasts,seeContrasts,0.22563712890810958,0.3550860515968836,MTMR7
lme,ENSG00000003989,Treatment,seeContrasts,seeContrasts,4.075847558684483e-6,1.744269763680228e-5,SLC7A2
lme,ENSG00000003989,median_cv_coverage,seeContrasts,seeContrasts,0.7804849829744277,0.8572831531676717,SLC7A2
lme,ENSG00000004059,Treatment,seeContrasts,seeContrasts,3.6768463482267015e-5,1.3307757647609134e-4,ARF5
lme,ENSG00000004059,median_cv_coverage,seeContrasts,seeContrasts,3.206870595635574e-8,2.923306049557311e-7,ARF5
lme,ENSG00000004139,Treatment,seeContrasts,seeContrasts,0.058504806082410814,0.10087101131074235,SARM1
lme,ENSG00000004139,median_cv_coverage,seeContrasts,seeContrasts,0.19449836474828533,0.3164776481230539,SARM1
lme,ENSG00000004142,Treatment,seeContrasts,seeContrasts,3.835948970044277e-8,2.191754319917181e-7,POLDIP2
lme,ENSG00000004142,median_cv_coverage,seeContrasts,seeContrasts,4.88728317697029e-13,1.0974057991382774e-11,POLDIP2
lme,ENSG00000004399,Treatment,seeContrasts,seeContrasts,0.7459786469798173,0.8012602199335741,PLXND1
lme,ENSG00000004399,median_cv_coverage,seeContrasts,seeContrasts,0.5982206114519857,0.7178015589022205,PLXND1
lme,ENSG00000004455,Treatment,seeContrasts,seeContrasts,2.3892099611688155e-26,8.579043533253351e-25,AK2
lme,ENSG00000004455,median_cv_coverage,seeContrasts,seeContrasts,0.33930981122729514,0.482212201125041,AK2
lme,ENSG00000004468,Treatment,seeContrasts,seeContrasts,1.696109637101149e-32,9.271483160607553e-31,CD38
lme,ENSG00000004468,median_cv_coverage,seeContrasts,seeContrasts,0.016536189626371427,0.040794225866422194,CD38
lme,ENSG00000004478,Treatment,seeContrasts,seeContrasts,3.6431270810339777e-6,1.5666726812113402e-5,FKBP4
lme,ENSG00000004478,median_cv_coverage,seeContrasts,seeContrasts,0.1061925846319803,0.1957093208517501,FKBP4
lme,ENSG00000004487,Treatment,seeContrasts,seeContrasts,1.92331980124208e-5,7.342032176231766e-5,KDM1A
lme,ENSG00000004487,median_cv_coverage,seeContrasts,seeContrasts,0.30325812160078214,0.44427398602907,KDM1A
lme,ENSG00000004534,Treatment,seeContrasts,seeContrasts,0.004606987381053077,0.010985361755420671,RBM6
lme,ENSG00000004534,median_cv_coverage,seeContrasts,seeContrasts,0.5387850708885797,0.6698283800410033,RBM6
