model,gene,variable,statistic,estimate,pval,FDR,hgnc_symbol
lme,module_26,median_cv_coverage,seeContrasts,seeContrasts,4.964820056086916e-24,3.049818034453392e-23,NA
lme,module_27,Treatment,seeContrasts,seeContrasts,2.321716704663202e-9,4.3406007956746824e-9,NA
lme,module_27,median_cv_coverage,seeContrasts,seeContrasts,2.1666304393029224e-5,4.4364337566678885e-5,NA
lme,module_28,Treatment,seeContrasts,seeContrasts,5.57230220937688e-7,9.584359800128233e-7,NA
lme,module_28,median_cv_coverage,seeContrasts,seeContrasts,8.310701221980178e-15,2.552572518179626e-14,NA
lme,module_29,Treatment,seeContrasts,seeContrasts,3.866503696910163e-5,5.7330916885219667e-5,NA
lme,module_29,median_cv_coverage,seeContrasts,seeContrasts,1.0553673307661101e-4,1.9730780531714234e-4,NA
lme,module_30,Treatment,seeContrasts,seeContrasts,3.106907388104344e-29,4.4532339229495595e-28,NA
lme,module_30,median_cv_coverage,seeContrasts,seeContrasts,5.894435014605538e-12,1.5841294101752383e-11,NA
lme,module_31,Treatment,seeContrasts,seeContrasts,2.871463148174765e-13,8.819493955108207e-13,NA
lme,module_31,median_cv_coverage,seeContrasts,seeContrasts,2.028763077388265e-18,7.930619302517763e-18,NA
lme,module_32,Treatment,seeContrasts,seeContrasts,1.0063160141937166e-16,3.933780782757256e-16,NA
lme,module_32,median_cv_coverage,seeContrasts,seeContrasts,0.3539925504762487,0.37126047976777304,NA
lme,module_33,Treatment,seeContrasts,seeContrasts,9.392093092625815e-15,3.1066154075608467e-14,NA
lme,module_33,median_cv_coverage,seeContrasts,seeContrasts,0.29234154387237876,0.31426715966280716,NA
lme,module_34,Treatment,seeContrasts,seeContrasts,3.681303188312609e-12,9.311531593967188e-12,NA
lme,module_34,median_cv_coverage,seeContrasts,seeContrasts,0.8304719876402099,0.8304719876402099,NA
lme,module_35,Treatment,seeContrasts,seeContrasts,0.018093977414096536,0.021612250800170863,NA
lme,module_35,median_cv_coverage,seeContrasts,seeContrasts,9.477491394427733e-15,2.7168808664026165e-14,NA
lme,module_36,Treatment,seeContrasts,seeContrasts,8.510552687007601e-18,3.659537655413268e-17,NA
lme,module_36,median_cv_coverage,seeContrasts,seeContrasts,7.794117317354011e-4,0.0013964460193592605,NA
lme,module_37,Treatment,seeContrasts,seeContrasts,0.009726190224008063,0.01194931941806705,NA
lme,module_37,median_cv_coverage,seeContrasts,seeContrasts,4.267667956701896e-17,1.4116132472167808e-16,NA
lme,module_38,Treatment,seeContrasts,seeContrasts,2.166596409816787e-9,4.234711164641902e-9,NA
lme,module_38,median_cv_coverage,seeContrasts,seeContrasts,0.5843847941824274,0.5982987178534375,NA
lme,module_39,Treatment,seeContrasts,seeContrasts,6.364485305846153e-18,3.040809646126495e-17,NA
lme,module_39,median_cv_coverage,seeContrasts,seeContrasts,0.006165139348258912,0.010196191999043584,NA
lme,module_40,Treatment,seeContrasts,seeContrasts,0.03732701365369986,0.04338004289484037,NA
lme,module_40,median_cv_coverage,seeContrasts,seeContrasts,1.4436343134790936e-9,3.4486819710889457e-9,NA
lme,module_41,Treatment,seeContrasts,seeContrasts,9.607214661816166e-12,2.1742643708320796e-11,NA
lme,module_41,median_cv_coverage,seeContrasts,seeContrasts,0.03157350477295212,0.04242689703865441,NA
lme,module_42,Treatment,seeContrasts,seeContrasts,6.320551046888478e-9,1.132432062567519e-8,NA
lme,module_42,median_cv_coverage,seeContrasts,seeContrasts,0.07151171097163479,0.08785724490800846,NA
